id,hhid,age,gender,relationShip,race,occupation,driversLicense,workplace,income,nationality,education,homeZone,disability,schoolId
117,117,42,2,single,unknown,2,true,-1,1577,UNKNOWN,2,807,0,0
118,118,52,2,single,unknown,2,true,-1,4067,UNKNOWN,2,3296,0,0
119,119,38,1,single,unknown,2,true,-1,761,UNKNOWN,2,1607,0,0
120,120,52,2,single,unknown,2,true,-1,1200,UNKNOWN,2,2180,0,0
121,121,50,2,single,unknown,2,true,-1,2733,UNKNOWN,2,2247,0,0
122,122,42,1,single,unknown,2,true,-1,2278,UNKNOWN,2,2729,0,0
123,123,91,1,single,unknown,2,true,-1,1750,UNKNOWN,2,2459,0,0
124,124,58,2,single,unknown,2,true,-1,4067,UNKNOWN,2,2824,0,0
125,125,63,2,single,unknown,2,true,-1,800,UNKNOWN,2,1153,2,0
126,126,70,2,single,unknown,2,true,-1,2200,UNKNOWN,2,833,0,0
127,127,1,1,single,unknown,2,false,-1,1952,UNKNOWN,2,323,0,0
128,128,33,1,single,unknown,2,true,-1,761,UNKNOWN,2,3424,0,0
129,129,35,1,single,unknown,2,true,-1,1571,UNKNOWN,2,3434,0,0
130,130,2,1,single,unknown,2,false,-1,1952,UNKNOWN,2,903,0,0
131,131,7,2,single,unknown,2,false,-1,1769,UNKNOWN,2,1353,0,0
132,132,19,1,single,unknown,2,true,-1,3050,UNKNOWN,2,1673,0,0
133,133,65,2,single,unknown,2,true,-1,1533,UNKNOWN,2,739,0,0
134,134,52,2,single,unknown,2,true,-1,2733,UNKNOWN,2,433,0,0
135,135,72,1,single,unknown,2,true,-1,2300,UNKNOWN,2,1673,0,0
136,136,57,1,single,unknown,2,true,-1,4067,UNKNOWN,2,3169,2,0
137,137,51,2,single,unknown,2,true,-1,2200,UNKNOWN,2,26,0,0
138,138,31,2,single,unknown,2,true,-1,1650,UNKNOWN,2,1943,0,0
139,139,30,1,single,unknown,2,true,-1,1952,UNKNOWN,2,2128,0,0
140,140,28,2,single,unknown,2,true,-1,1533,UNKNOWN,2,934,0,0
141,141,45,2,single,unknown,2,true,-1,1435,UNKNOWN,2,874,0,0
142,142,34,2,single,unknown,2,true,-1,250,UNKNOWN,2,3028,0,0
143,143,19,2,single,unknown,2,true,-1,1533,UNKNOWN,2,222,0,0
144,144,70,1,single,unknown,2,true,-1,2300,UNKNOWN,2,924,0,0
145,145,49,1,single,unknown,2,true,-1,2300,UNKNOWN,2,2405,0,0
146,146,37,2,single,unknown,2,true,-1,1571,UNKNOWN,2,1304,0,0
147,147,32,1,single,unknown,2,true,-1,1952,UNKNOWN,2,1779,0,0
148,148,60,2,single,unknown,2,true,-1,2733,UNKNOWN,2,2094,2,0
149,149,56,1,single,unknown,2,true,-1,1750,UNKNOWN,2,3448,0,0
150,150,12,1,single,unknown,2,false,-1,2833,UNKNOWN,2,1242,0,0
151,151,16,1,single,unknown,2,false,-1,1000,UNKNOWN,2,131,0,0
152,152,35,2,single,unknown,2,true,-1,250,UNKNOWN,2,1536,0,0
153,153,52,2,single,unknown,2,true,-1,1200,UNKNOWN,2,2022,0,0
154,154,32,1,single,unknown,2,true,-1,2278,UNKNOWN,2,256,0,0
155,155,60,1,single,unknown,2,true,-1,4067,UNKNOWN,2,1482,2,0
156,156,49,1,single,unknown,2,true,-1,2733,UNKNOWN,2,1800,0,0
157,157,40,2,single,unknown,2,true,-1,2733,UNKNOWN,2,1601,0,0
158,158,68,2,single,unknown,2,true,-1,1533,UNKNOWN,2,2652,0,0
159,159,56,1,single,unknown,2,true,-1,2200,UNKNOWN,2,343,0,0
160,160,28,1,single,unknown,2,true,-1,2200,UNKNOWN,2,942,2,0
161,161,12,1,single,unknown,2,false,-1,1640,UNKNOWN,2,3285,0,0
162,162,37,2,single,unknown,2,true,-1,2050,UNKNOWN,2,3497,0,0
163,163,58,2,single,unknown,2,true,-1,2733,UNKNOWN,2,1741,0,0
164,164,31,1,single,unknown,2,true,-1,972,UNKNOWN,2,2611,0,0
165,165,53,1,single,unknown,2,true,-1,1200,UNKNOWN,2,1066,0,0
166,166,40,1,single,unknown,2,true,-1,2733,UNKNOWN,2,2071,0,0
167,167,23,2,single,unknown,2,true,-1,1750,UNKNOWN,2,3031,0,0
168,168,44,1,single,unknown,2,true,-1,1167,UNKNOWN,2,1030,0,0
169,169,8,2,single,unknown,2,false,-1,1333,UNKNOWN,2,1030,0,0
170,170,37,1,single,unknown,2,true,-1,1952,UNKNOWN,2,1292,0,0
171,171,12,2,single,unknown,2,false,-1,2217,UNKNOWN,2,325,0,0
172,172,9,1,single,unknown,2,false,-1,1571,UNKNOWN,2,2935,0,0
173,173,53,1,single,unknown,2,true,-1,2200,UNKNOWN,2,1742,0,0
174,174,80,2,single,unknown,2,true,-1,2200,UNKNOWN,2,2809,0,0
175,175,0,2,single,unknown,2,false,-1,1571,UNKNOWN,2,1507,0,0
176,176,75,2,single,unknown,2,true,-1,1167,UNKNOWN,2,2382,0,0
177,177,58,1,single,unknown,2,true,-1,1167,UNKNOWN,2,713,0,0
178,178,52,1,single,unknown,2,true,-1,2200,UNKNOWN,2,997,0,0
179,179,75,1,single,unknown,2,true,-1,1867,UNKNOWN,2,430,0,0
180,180,70,1,single,unknown,2,true,-1,1200,UNKNOWN,2,3343,0,0
181,181,77,1,single,unknown,2,true,-1,3400,UNKNOWN,2,47,0,0
182,182,68,2,single,unknown,2,true,-1,1533,UNKNOWN,2,590,2,0
183,183,51,1,single,unknown,2,true,-1,2200,UNKNOWN,2,211,0,0
184,184,18,1,single,unknown,2,true,-1,1533,UNKNOWN,2,2000,0,0
185,185,4,1,single,unknown,2,false,-1,2278,UNKNOWN,2,275,0,0
186,186,62,2,single,unknown,2,true,-1,800,UNKNOWN,2,1786,2,0
187,187,26,1,single,unknown,2,true,-1,467,UNKNOWN,2,1037,0,0
188,188,43,2,single,unknown,2,true,-1,333,UNKNOWN,2,2746,0,0
189,189,3,1,single,unknown,2,false,-1,1952,UNKNOWN,2,2993,0,0
190,190,73,1,single,unknown,2,true,-1,2300,UNKNOWN,2,832,0,0
191,191,46,1,single,unknown,2,true,-1,2200,UNKNOWN,2,3399,0,0
192,192,23,1,single,unknown,2,true,-1,972,UNKNOWN,2,3294,0,0
193,193,72,1,single,unknown,2,true,-1,1200,UNKNOWN,2,867,2,0
194,194,3,1,single,unknown,2,false,-1,2278,UNKNOWN,2,3479,0,0
195,195,35,1,single,unknown,2,true,-1,2154,UNKNOWN,2,267,0,0
196,196,9,1,single,unknown,2,false,-1,1278,UNKNOWN,2,1380,0,0
197,197,43,1,single,unknown,2,true,-1,2278,UNKNOWN,2,2190,0,0
198,198,48,1,single,unknown,2,true,-1,1200,UNKNOWN,2,3444,0,0
199,199,52,1,single,unknown,2,true,-1,1867,UNKNOWN,2,3294,0,0
200,200,52,1,single,unknown,2,true,-1,700,UNKNOWN,2,1875,2,0
201,201,64,2,single,unknown,2,true,-1,1200,UNKNOWN,2,1710,0,0
202,202,63,2,single,unknown,2,true,-1,2300,UNKNOWN,2,169,0,0
203,203,59,1,single,unknown,2,true,-1,3400,UNKNOWN,2,3379,0,0
204,204,71,1,single,unknown,2,true,-1,1167,UNKNOWN,2,2189,2,0
205,205,52,2,single,unknown,2,true,-1,1200,UNKNOWN,2,2770,0,0
206,206,66,1,single,unknown,2,true,-1,1533,UNKNOWN,2,378,2,0
207,207,17,1,single,unknown,2,true,-1,2033,UNKNOWN,2,1623,0,0
208,208,8,2,single,unknown,2,false,-1,1095,UNKNOWN,2,1992,0,0
209,209,9,2,single,unknown,2,false,-1,2905,UNKNOWN,2,655,0,0
210,210,19,1,single,unknown,2,true,-1,2217,UNKNOWN,2,1281,0,0
211,211,70,1,single,unknown,2,true,-1,1167,UNKNOWN,2,151,2,0
212,212,61,2,single,unknown,2,true,-1,1867,UNKNOWN,2,694,0,0
213,213,32,1,single,unknown,2,true,-1,1278,UNKNOWN,2,1989,0,0
214,214,66,1,single,unknown,2,true,-1,3300,UNKNOWN,2,949,0,0
215,215,20,2,single,unknown,2,true,-1,800,UNKNOWN,2,2395,0,0
216,216,21,2,single,unknown,2,true,-1,2733,UNKNOWN,2,806,0,0
217,217,7,1,single,unknown,2,false,-1,1571,UNKNOWN,2,2360,0,0
218,218,52,2,single,unknown,2,true,-1,2733,UNKNOWN,2,2232,0,0
219,219,71,2,single,unknown,2,true,-1,4067,UNKNOWN,2,3184,0,0
220,220,74,2,single,unknown,2,true,-1,1167,UNKNOWN,2,324,0,0
221,221,66,2,single,unknown,2,true,-1,1867,UNKNOWN,2,2176,2,0
222,222,12,1,single,unknown,2,true,-1,3050,UNKNOWN,2,682,0,0
223,223,38,2,single,unknown,2,true,-1,1095,UNKNOWN,2,1512,0,0
224,224,43,2,single,unknown,2,true,-1,2542,UNKNOWN,2,344,0,0
225,225,40,2,single,unknown,2,true,-1,2200,UNKNOWN,2,1174,0,0
226,226,90,1,single,unknown,2,true,-1,1750,UNKNOWN,2,3054,0,0
227,227,78,1,single,unknown,2,true,-1,1533,UNKNOWN,2,1917,0,0
228,228,5,1,single,unknown,2,false,-1,1962,UNKNOWN,2,3494,0,0
229,229,28,2,single,unknown,2,true,-1,2200,UNKNOWN,2,1175,0,0
230,230,57,2,single,unknown,2,true,-1,1750,UNKNOWN,2,2988,0,0
231,231,14,1,single,unknown,2,false,-1,875,UNKNOWN,2,3406,0,0
232,232,53,1,single,unknown,2,true,-1,3400,UNKNOWN,2,3418,0,0
233,233,10,1,single,unknown,2,false,-1,1556,UNKNOWN,2,1119,2,0
234,234,50,2,single,unknown,2,true,-1,3050,UNKNOWN,2,3348,0,0
235,235,51,1,single,unknown,2,true,-1,4100,UNKNOWN,2,1267,0,0
236,236,77,1,single,unknown,2,true,-1,1200,UNKNOWN,2,2160,0,0
237,237,60,1,single,unknown,2,true,-1,700,UNKNOWN,2,588,2,0
238,238,15,1,single,unknown,2,false,-1,1952,UNKNOWN,2,2011,0,0
239,239,59,1,single,unknown,2,true,-1,2733,UNKNOWN,2,554,0,0
240,240,32,2,single,unknown,2,true,-1,2300,UNKNOWN,2,2291,0,0
241,241,43,1,single,unknown,2,true,-1,1533,UNKNOWN,2,3387,0,0
242,242,91,1,single,unknown,2,true,-1,1750,UNKNOWN,2,3487,2,0
243,243,39,1,single,unknown,2,true,-1,1962,UNKNOWN,2,2932,0,0
244,244,67,2,single,unknown,2,true,-1,1200,UNKNOWN,2,3231,0,0
245,245,37,1,single,unknown,2,true,-1,2542,UNKNOWN,2,1589,0,0
246,246,47,2,single,unknown,2,true,-1,1200,UNKNOWN,2,1422,0,0
247,247,68,2,single,unknown,2,true,-1,1533,UNKNOWN,2,2642,0,0
248,248,88,1,single,unknown,2,true,-1,1750,UNKNOWN,2,2892,0,0
249,249,52,2,single,unknown,2,true,-1,2905,UNKNOWN,2,231,0,0
250,250,80,2,single,unknown,2,true,-1,2200,UNKNOWN,2,676,2,0
251,251,59,2,single,unknown,2,true,-1,1200,UNKNOWN,2,1694,2,0
252,252,77,2,single,unknown,2,true,-1,1167,UNKNOWN,2,1746,2,0
253,253,3,1,single,unknown,2,false,-1,1952,UNKNOWN,2,2382,0,0
254,254,15,1,single,unknown,2,false,-1,2550,UNKNOWN,2,1426,0,0
255,255,52,2,single,unknown,2,true,-1,1200,UNKNOWN,2,1254,0,0
256,256,12,1,single,unknown,2,false,-1,1320,UNKNOWN,2,96,0,0
257,257,12,1,single,unknown,2,false,-1,1435,UNKNOWN,2,3460,0,0
258,258,5,1,single,unknown,2,false,-1,1571,UNKNOWN,2,2460,0,0
259,259,58,1,single,unknown,2,true,-1,1167,UNKNOWN,2,1316,0,0
260,260,45,2,single,unknown,2,true,-1,2278,UNKNOWN,2,132,0,0
261,261,52,1,single,unknown,2,true,-1,700,UNKNOWN,2,1859,2,0
262,262,5,1,single,unknown,2,false,-1,1094,UNKNOWN,2,10,0,0
263,263,37,1,single,unknown,2,true,-1,1750,UNKNOWN,2,3261,0,0
264,264,53,2,single,unknown,2,true,-1,1533,UNKNOWN,2,3317,0,0
265,265,76,2,single,unknown,2,true,-1,1533,UNKNOWN,2,1565,2,0
266,266,71,2,single,unknown,2,true,-1,1533,UNKNOWN,2,348,0,0
267,267,57,2,single,unknown,2,true,-1,1120,UNKNOWN,2,3066,0,0
268,268,42,2,single,unknown,2,true,-1,1278,UNKNOWN,2,1108,0,0
269,269,62,1,single,unknown,2,true,-1,700,UNKNOWN,2,2600,2,0
270,270,63,1,single,unknown,2,true,-1,1167,UNKNOWN,2,2207,0,0
271,271,72,2,single,unknown,2,true,-1,1167,UNKNOWN,2,2295,0,0
272,272,56,1,single,unknown,2,true,-1,800,UNKNOWN,2,1341,0,0
273,273,23,2,single,unknown,2,true,-1,800,UNKNOWN,2,789,0,0
274,274,35,1,single,unknown,2,true,-1,2733,UNKNOWN,2,2532,0,0
275,275,27,2,single,unknown,2,true,-1,1571,UNKNOWN,2,1011,0,0
276,276,35,2,single,unknown,2,true,-1,2733,UNKNOWN,2,2160,0,0
277,277,17,1,single,unknown,2,false,-1,1640,UNKNOWN,2,3187,0,0
278,278,30,2,single,unknown,2,true,-1,750,UNKNOWN,2,307,0,0
279,279,59,2,single,unknown,2,true,-1,3400,UNKNOWN,2,2644,0,0
280,280,68,2,single,unknown,2,true,-1,1533,UNKNOWN,2,3343,0,0
281,281,18,2,single,unknown,2,true,-1,1217,UNKNOWN,2,2568,0,0
282,282,23,2,single,unknown,2,true,-1,2050,UNKNOWN,2,2400,0,0
283,283,69,1,single,unknown,2,true,-1,2200,UNKNOWN,2,2453,0,0
284,284,56,1,single,unknown,2,true,-1,1200,UNKNOWN,2,2638,0,0
285,285,39,2,single,unknown,2,true,-1,1095,UNKNOWN,2,911,0,0
286,286,69,2,single,unknown,2,true,-1,1867,UNKNOWN,2,3367,0,0
287,287,50,1,single,unknown,2,true,-1,2733,UNKNOWN,2,2320,0,0
288,288,78,2,single,unknown,2,true,-1,800,UNKNOWN,2,1289,0,0
289,289,4,2,single,unknown,2,false,-1,3389,UNKNOWN,2,1726,0,0
290,290,37,2,single,unknown,2,true,-1,1333,UNKNOWN,2,91,0,0
291,291,4,1,single,unknown,2,false,-1,3389,UNKNOWN,2,2941,0,0
292,292,34,2,single,unknown,2,true,-1,1556,UNKNOWN,2,19,0,0
293,293,40,1,single,unknown,2,true,-1,2429,UNKNOWN,2,620,0,0
294,294,52,1,single,unknown,2,true,-1,875,UNKNOWN,2,3383,0,0
295,295,59,1,single,unknown,2,true,-1,700,UNKNOWN,2,3008,2,0
296,296,96,1,single,unknown,2,true,-1,1200,UNKNOWN,2,1538,0,0
297,297,30,1,single,unknown,2,true,-1,700,UNKNOWN,2,2964,0,0
298,298,41,1,single,unknown,2,true,-1,1833,UNKNOWN,2,76,0,0
299,299,42,2,single,unknown,2,true,-1,2429,UNKNOWN,2,242,0,0
300,300,81,1,single,unknown,2,true,-1,2050,UNKNOWN,2,2494,0,0
301,301,53,2,single,unknown,2,true,-1,1120,UNKNOWN,2,1048,0,0
302,302,74,2,single,unknown,2,true,-1,2200,UNKNOWN,2,190,0,0
303,303,16,2,single,unknown,2,false,-1,1650,UNKNOWN,2,1635,2,0
304,304,30,2,single,unknown,2,true,-1,2300,UNKNOWN,2,2167,0,0
305,305,10,2,single,unknown,2,false,-1,1095,UNKNOWN,2,1961,0,0
306,306,72,1,single,unknown,2,true,-1,1750,UNKNOWN,2,2570,0,0
307,307,53,1,single,unknown,2,true,-1,2550,UNKNOWN,2,2914,0,0
308,308,15,1,single,unknown,2,false,-1,1650,UNKNOWN,2,1134,0,0
309,309,26,2,single,unknown,2,true,-1,4100,UNKNOWN,2,2867,0,0
310,310,66,2,single,unknown,2,true,-1,800,UNKNOWN,2,1353,2,0
311,311,42,2,single,unknown,2,true,-1,3400,UNKNOWN,2,66,0,0
312,312,85,2,single,unknown,2,true,-1,2200,UNKNOWN,2,2439,0,0
313,313,73,2,single,unknown,2,true,-1,1200,UNKNOWN,2,485,0,0
314,314,5,1,single,unknown,2,false,-1,2429,UNKNOWN,2,175,0,0
315,315,72,2,single,unknown,2,true,-1,1200,UNKNOWN,2,1744,0,0
316,316,55,2,single,unknown,2,true,-1,3400,UNKNOWN,2,695,0,0
317,317,77,1,single,unknown,2,true,-1,1179,UNKNOWN,2,956,0,0
318,318,62,1,single,unknown,2,true,-1,250,UNKNOWN,2,2614,0,0
319,319,57,1,single,unknown,2,true,-1,700,UNKNOWN,2,2106,2,0
320,320,64,2,single,unknown,2,true,-1,700,UNKNOWN,2,2801,0,0
321,321,56,2,single,unknown,2,true,-1,1167,UNKNOWN,2,3388,2,0
322,322,52,2,single,unknown,2,true,-1,2652,UNKNOWN,2,3006,0,0
323,323,2,2,single,unknown,2,false,-1,1556,UNKNOWN,2,1995,0,0
324,324,13,2,single,unknown,2,false,-1,2652,UNKNOWN,2,1010,0,0
325,325,55,1,single,unknown,2,true,-1,1700,UNKNOWN,2,1689,0,0
326,326,65,2,single,unknown,2,true,-1,700,UNKNOWN,2,1519,0,0
327,327,63,2,single,unknown,2,true,-1,1750,UNKNOWN,2,130,0,0
328,328,57,1,single,unknown,2,true,-1,467,UNKNOWN,2,782,0,0
329,329,55,2,single,unknown,2,true,-1,2733,UNKNOWN,2,3487,0,0
330,330,33,1,single,unknown,2,true,-1,667,UNKNOWN,2,803,0,0
331,331,68,2,single,unknown,2,true,-1,1750,UNKNOWN,2,2249,0,0
332,332,51,1,single,unknown,2,true,-1,1167,UNKNOWN,2,2094,2,0
333,333,7,1,single,unknown,2,false,-1,885,UNKNOWN,2,1242,0,0
334,334,93,1,single,unknown,2,true,-1,700,UNKNOWN,2,1638,2,0
335,335,98,2,single,unknown,2,true,-1,2800,UNKNOWN,2,1537,0,0
336,336,92,1,single,unknown,2,true,-1,1750,UNKNOWN,2,197,2,0
337,337,25,1,single,unknown,2,true,-1,1200,UNKNOWN,2,858,0,0
338,338,31,1,single,unknown,2,true,-1,923,UNKNOWN,2,2454,0,0
339,339,23,2,single,unknown,2,true,-1,700,UNKNOWN,2,2772,0,0
340,340,63,2,single,unknown,2,true,-1,3400,UNKNOWN,2,3387,0,0
341,341,41,1,single,unknown,2,true,-1,3389,UNKNOWN,2,610,0,0
342,342,35,1,single,unknown,2,true,-1,2429,UNKNOWN,2,3295,0,0
