id,dwelling,zone,hhSize,autos
173,173,1742,1,1
174,174,2809,1,1
175,175,1507,1,1
176,176,2382,1,1
177,177,713,1,1
178,178,997,1,1
179,179,430,1,1
180,180,3343,1,1
181,181,47,1,1
182,182,590,1,1
183,183,211,1,1
184,184,2000,1,1
185,185,275,1,1
186,186,1786,1,1
187,187,1037,1,1
188,188,2746,1,1
189,189,2993,1,1
190,190,832,1,1
191,191,3399,1,1
192,192,3294,1,1
193,193,867,1,1
194,194,3479,1,1
195,195,267,1,1
196,196,1380,1,1
197,197,2190,1,1
198,198,3444,1,1
199,199,3294,1,1
200,200,1875,1,1
201,201,1710,1,1
202,202,169,1,1
203,203,3379,1,1
204,204,2189,1,1
205,205,2770,1,1
206,206,378,1,1
207,207,1623,1,1
208,208,1992,1,1
209,209,655,1,1
210,210,1281,1,1
211,211,151,1,1
212,212,694,1,1
213,213,1989,1,1
214,214,949,1,1
215,215,2395,1,1
216,216,806,1,1
217,217,2360,1,1
218,218,2232,1,1
219,219,3184,1,1
220,220,324,1,1
221,221,2176,1,1
222,222,682,1,1
223,223,1512,1,1
224,224,344,1,1
225,225,1174,1,1
226,226,3054,1,1
227,227,1917,1,1
228,228,3494,1,1
229,229,1175,1,1
230,230,2988,1,1
231,231,3406,1,1
232,232,3418,1,1
233,233,1119,1,1
234,234,3348,1,1
235,235,1267,1,1
236,236,2160,1,1
237,237,588,1,1
238,238,2011,1,1
239,239,554,1,1
240,240,2291,1,1
241,241,3387,1,1
242,242,3487,1,1
243,243,2932,1,1
244,244,3231,1,1
245,245,1589,1,1
246,246,1422,1,1
247,247,2642,1,1
248,248,2892,1,1
249,249,231,1,1
250,250,676,1,1
251,251,1694,1,1
252,252,1746,1,1
253,253,2382,1,1
254,254,1426,1,1
255,255,1254,1,1
256,256,96,1,1
257,257,3460,1,1
258,258,2460,1,1
259,259,1316,1,1
260,260,132,1,1
261,261,1859,1,1
262,262,10,1,1
263,263,3261,1,1
264,264,3317,1,1
265,265,1565,1,1
266,266,348,1,1
267,267,3066,1,1
268,268,1108,1,1
269,269,2600,1,1
270,270,2207,1,1
271,271,2295,1,1
272,272,1341,1,1
273,273,789,1,1
274,274,2532,1,1
275,275,1011,1,1
276,276,2160,1,1
277,277,3187,1,1
278,278,307,1,1
279,279,2644,1,1
280,280,3343,1,1
281,281,2568,1,1
282,282,2400,1,1
283,283,2453,1,1
284,284,2638,1,1
285,285,911,1,1
286,286,3367,1,1
287,287,2320,1,1
288,288,1289,1,1
289,289,1726,1,1
290,290,91,1,1
291,291,2941,1,1
292,292,19,1,1
293,293,620,1,1
294,294,3383,1,1
295,295,3008,1,1
296,296,1538,1,1
297,297,2964,1,1
298,298,76,1,1
299,299,242,1,1
300,300,2494,1,1
301,301,1048,1,1
302,302,190,1,1
303,303,1635,1,1
304,304,2167,1,1
305,305,1961,1,1
306,306,2570,1,1
307,307,2914,1,1
308,308,1134,1,1
309,309,2867,1,1
310,310,1353,1,1
311,311,66,1,1
312,312,2439,1,1
313,313,485,1,1
314,314,175,1,1
315,315,1744,1,1
316,316,695,1,1
317,317,956,1,1
318,318,2614,1,1
319,319,2106,1,1
320,320,2801,1,1
321,321,3388,1,1
322,322,3006,1,1
323,323,1995,1,1
324,324,1010,1,1
325,325,1689,1,1
326,326,1519,1,1
327,327,130,1,1
328,328,782,1,1
329,329,3487,1,1
330,330,803,1,1
331,331,2249,1,1
332,332,2094,1,1
333,333,1242,1,1
334,334,1638,1,1
335,335,1537,1,1
336,336,197,1,1
337,337,858,1,1
338,338,2454,1,1
339,339,2772,1,1
340,340,3387,1,1
341,341,610,1,1
342,342,3295,1,1
343,343,508,1,1
344,344,2057,1,1
345,345,12,1,1
346,346,1989,1,1
347,347,843,1,1
348,348,1314,1,1
349,349,1960,1,1
350,350,2019,1,1
351,351,1225,1,1
352,352,558,1,1
353,353,1242,1,1
354,354,957,1,1
355,355,861,1,1
356,356,2330,1,1
357,357,2707,1,1
358,358,713,1,1
359,359,2508,1,1
360,360,3233,1,1
361,361,924,1,1
362,362,78,1,1
363,363,3181,1,1
364,364,3303,1,1
365,365,2357,1,1
366,366,165,1,1
367,367,766,1,1
368,368,2727,1,1
369,369,97,1,1
370,370,1381,1,1
371,371,2396,1,1
372,372,2742,1,1
373,373,2219,1,1
374,374,2082,1,1
375,375,1353,1,1
376,376,3367,1,1
377,377,1530,1,1
378,378,395,1,1
379,379,166,1,1
380,380,589,1,1
381,381,303,1,1
382,382,2493,1,1
383,383,1453,1,1
384,384,446,1,1
385,385,2303,1,1
386,386,388,1,1
387,387,493,1,1
388,388,3146,1,1
389,389,3016,1,1
390,390,2922,1,1
391,391,2933,1,1
392,392,1951,1,1
393,393,3349,1,1
394,394,530,1,1
395,395,3056,1,1
396,396,1877,1,1
397,397,718,1,1
398,398,2047,1,1
399,399,93,1,1
400,400,861,1,1
401,401,2194,1,1
402,402,1578,1,1
403,403,2848,1,1
404,404,2644,1,1
405,405,2979,1,1
406,406,1834,1,1
407,407,1969,1,1
408,408,2442,1,1
409,409,1511,1,1
410,410,3043,1,1
411,411,1721,1,1
412,412,1432,1,1
413,413,3338,1,1
414,414,2689,1,1
415,415,1209,1,1
416,416,95,1,1
417,417,109,1,1
418,418,368,1,1
419,419,2114,1,1
420,420,2351,1,1
421,421,2250,1,1
422,422,349,1,1
423,423,1194,1,1
424,424,96,1,1
425,425,975,1,1
426,426,276,1,1
427,427,448,1,1
428,428,3489,1,1
429,429,135,1,1
430,430,3254,1,1
431,431,3155,1,1
432,432,1470,1,1
433,433,212,1,1
434,434,2909,1,1
435,435,787,1,1
436,436,1060,1,1
437,437,1380,1,1
438,438,2542,1,1
439,439,1405,1,1
440,440,2101,1,1
441,441,1555,1,1
442,442,1439,1,1
443,443,1892,1,1
444,444,986,1,1
445,445,395,1,1
446,446,999,1,1
447,447,1153,1,1
448,448,1702,1,1
449,449,3222,1,1
450,450,403,1,1
451,451,231,1,1
452,452,2179,1,1
453,453,2361,1,1
454,454,1319,1,1
455,455,1798,1,1
456,456,108,1,1
457,457,2365,1,1
458,458,1142,1,1
459,459,3139,1,1
460,460,126,1,1
461,461,1782,1,1
462,462,3468,1,1
463,463,1560,1,1
464,464,2260,1,1
465,465,3109,1,1
466,466,3498,1,1
467,467,3044,1,1
468,468,175,1,1
469,469,3100,1,1
470,470,2747,1,1
471,471,1345,1,1
472,472,1518,1,1
473,473,1058,1,1
474,474,117,1,1
475,475,1807,1,1
476,476,2295,1,1
477,477,2481,1,1
478,478,1566,1,1
479,479,1926,1,1
480,480,2527,1,1
481,481,2758,1,1
482,482,2599,1,1
483,483,3466,1,1
484,484,649,1,1
485,485,31,1,1
486,486,2868,1,1
487,487,1287,1,1
488,488,755,1,1
489,489,2217,1,1
490,490,3402,1,1
491,491,1991,1,1
492,492,3048,1,1
493,493,2735,1,1
494,494,2705,1,1
495,495,2214,1,1
496,496,1222,1,1
497,497,1075,1,1
498,498,1825,1,1
499,499,1517,1,1
500,500,2104,1,1
501,501,174,1,1
502,502,3177,1,1
503,503,2892,1,1
504,504,2824,1,1
505,505,2651,1,1
506,506,2971,1,1
507,507,279,1,1
508,508,3496,1,1
509,509,2805,1,1
510,510,675,1,1
511,511,1320,1,1
512,512,2234,1,1
513,513,2175,1,1
514,514,2935,1,1
515,515,2222,1,1
516,516,2958,1,1
517,517,2686,1,1
518,518,2472,1,1
519,519,89,1,1
520,520,1876,1,1
521,521,1969,1,1
522,522,2335,1,1
523,523,3226,1,1
524,524,2052,1,1
525,525,2232,1,1
526,526,3031,1,1
527,527,1168,1,1
528,528,3399,1,1
529,529,1339,1,1
530,530,1343,1,1
531,531,3165,1,1
532,532,1975,1,1
533,533,683,1,1
534,534,1231,1,1
535,535,3227,1,1
536,536,2566,1,1
537,537,1091,1,1
538,538,776,1,1
539,539,2714,1,1
540,540,3412,1,1
541,541,2601,1,1
542,542,2502,1,1
543,543,610,1,1
544,544,395,1,1
545,545,2811,1,1
546,546,1387,1,1
547,547,2675,1,1
548,548,528,1,1
549,549,2249,1,1
550,550,1326,1,1
551,551,849,1,1
552,552,3481,1,1
553,553,3314,1,1
554,554,337,1,1
555,555,3019,1,1
556,556,493,1,1
557,557,815,1,1
558,558,3088,1,1
559,559,2892,1,1
560,560,1968,1,1
561,561,1409,1,1
562,562,2470,1,1
563,563,1612,1,1
564,564,1549,1,1
565,565,338,1,1
566,566,154,1,1
567,567,89,1,1
568,568,2058,1,1
569,569,1658,1,1
570,570,2513,1,1
571,571,1065,1,1
572,572,2843,1,1
573,573,2516,1,1
574,574,390,1,1
575,575,3045,1,1
576,576,150,1,1
577,577,2515,1,1
578,578,2783,1,1
579,579,1364,1,1
580,580,1355,1,1
581,581,17,1,1
582,582,1171,1,1
583,583,351,1,1
584,584,1552,1,1
585,585,2795,1,1
586,586,1565,1,1
587,587,1957,1,1
588,588,544,1,1
589,589,1027,1,1
590,590,2084,1,1
591,591,3278,1,1
592,592,146,1,1
593,593,2216,1,1
594,594,3444,1,1
595,595,1573,1,1
596,596,2425,1,1
597,597,1263,1,1
598,598,2994,1,1
599,599,2283,1,1
600,600,590,1,1
601,601,1947,1,1
602,602,260,1,1
603,603,3044,1,1
604,604,1534,1,1
605,605,1306,1,1
606,606,2436,1,1
607,607,1436,1,1
608,608,1179,1,1
609,609,2799,1,1
610,610,1683,1,1
611,611,3307,1,1
612,612,2830,1,1
613,613,3004,1,1
614,614,2130,1,1
615,615,374,1,1
616,616,822,1,1
617,617,1974,1,1
618,618,269,1,1
619,619,2974,1,1
620,620,1876,1,1
621,621,2700,1,1
622,622,1129,1,1
623,623,1823,1,1
624,624,1263,1,1
625,625,2318,1,1
626,626,1508,1,1
627,627,3054,1,1
628,628,2291,1,1
629,629,3142,1,1
630,630,2138,1,1
631,631,3452,1,1
632,632,2339,1,1
633,633,2900,1,1
634,634,3423,1,1
635,635,2579,1,1
636,636,2944,1,1
637,637,2295,1,1
638,638,3392,1,1
639,639,760,1,1
640,640,1569,1,1
641,641,3447,1,1
642,642,2460,1,1
643,643,191,1,1
644,644,2549,1,1
645,645,1408,1,1
646,646,428,1,1
647,647,1734,1,1
648,648,1460,1,1
649,649,789,1,1
650,650,579,1,1
651,651,2873,1,1
652,652,2041,1,1
653,653,1511,1,1
654,654,777,1,1
655,655,319,1,1
656,656,2208,1,1
657,657,585,1,1
658,658,310,1,1
659,659,722,1,1
660,660,2536,1,1
661,661,320,1,1
662,662,3307,1,1
663,663,2081,1,1
664,664,2730,1,1
665,665,2699,1,1
666,666,2268,1,1
667,667,2371,1,1
668,668,610,1,1
669,669,1688,1,1
670,670,601,1,1
671,671,156,1,1
672,672,1962,1,1
673,673,3191,1,1
674,674,2584,1,1
675,675,612,1,1
676,676,3233,1,1
677,677,3429,1,1
678,678,1029,1,1
679,679,424,1,1
680,680,72,1,1
681,681,1769,1,1
682,682,2062,1,1
683,683,1390,1,1
684,684,1000,1,1
685,685,1687,1,1
686,686,2932,1,1
687,687,3193,1,1
688,688,441,1,1
689,689,862,1,1
690,690,1086,1,1
691,691,2829,1,1
692,692,1032,1,1
693,693,1488,1,1
694,694,3213,1,1
695,695,3025,1,1
696,696,2485,1,1
697,697,1557,1,1
698,698,3169,1,1
699,699,114,1,1
700,700,3139,1,1
701,701,1296,1,1
702,702,1088,1,1
703,703,1233,1,1
704,704,3068,1,1
705,705,3450,1,1
706,706,2989,1,1
707,707,1282,1,1
708,708,1521,1,1
709,709,3057,1,1
710,710,357,1,1
711,711,1360,1,1
712,712,3219,1,1
713,713,2550,1,1
714,714,2826,1,1
715,715,1108,1,1
716,716,1105,1,1
717,717,972,1,1
718,718,2051,1,1
719,719,2862,1,1
720,720,782,1,1
721,721,796,1,1
722,722,1936,1,1
723,723,1943,1,1
724,724,910,1,1
725,725,846,1,1
726,726,2619,1,1
727,727,1509,1,1
728,728,197,1,1
729,729,1481,1,1
730,730,2045,1,1
731,731,805,1,1
732,732,3056,1,1
733,733,472,1,1
734,734,2769,1,1
735,735,1791,1,1
736,736,3489,1,1
737,737,733,1,1
738,738,1114,1,1
739,739,629,1,1
740,740,2289,1,1
741,741,1638,1,1
742,742,2475,1,1
743,743,749,1,1
744,744,1981,1,1
745,745,3200,1,1
746,746,2183,1,1
747,747,2389,1,1
748,748,2250,1,1
749,749,1279,1,1
750,750,2550,1,1
751,751,2097,1,1
752,752,2755,1,1
753,753,1657,1,1
754,754,3317,1,1
755,755,2204,1,1
756,756,1862,1,1
757,757,3350,1,1
758,758,978,1,1
759,759,3040,1,1
760,760,1138,1,1
761,761,1225,1,1
762,762,1600,1,1
763,763,3213,1,1
764,764,3484,1,1
765,765,1954,1,1
766,766,1631,1,1
767,767,1365,1,1
768,768,3107,1,1
769,769,2340,1,1
770,770,2231,1,1
771,771,2185,1,1
772,772,102,1,1
773,773,891,1,1
774,774,1756,1,1
775,775,68,1,1
776,776,1518,1,1
777,777,2430,1,1
778,778,1161,1,1
779,779,2968,1,1
780,780,2410,1,1
781,781,2186,1,1
782,782,2537,1,1
783,783,1350,1,1
784,784,667,1,1
785,785,711,1,1
786,786,1752,1,1
787,787,1800,1,1
788,788,1100,1,1
789,789,581,1,1
790,790,170,1,1
791,791,2719,1,1
792,792,3067,1,1
793,793,2863,1,1
794,794,3283,1,1
795,795,1744,1,1
796,796,975,1,1
797,797,1368,1,1
798,798,1983,1,1
799,799,2231,1,1
800,800,1947,1,1
801,801,1506,1,1
802,802,2772,1,1
803,803,3030,1,1
804,804,3107,1,1
805,805,892,1,1
806,806,1471,1,1
807,807,192,1,1
808,808,1553,1,1
809,809,3317,1,1
810,810,2304,1,1
811,811,3161,1,1
812,812,1942,1,1
813,813,1504,1,1
814,814,615,1,1
815,815,1727,1,1
816,816,2656,1,1
817,817,1183,1,1
818,818,2816,1,1
819,819,3207,1,1
820,820,765,1,1
821,821,698,1,1
822,822,1354,1,1
823,823,1502,1,1
824,824,2454,1,1
825,825,3056,1,1
826,826,2072,1,1
827,827,316,1,1
828,828,2622,1,1
829,829,949,1,1
830,830,1872,1,1
831,831,1598,1,1
832,832,649,1,1
833,833,721,1,1
834,834,2710,1,1
835,835,1360,1,1
836,836,1849,1,1
837,837,742,1,1
838,838,1,1,1
839,839,1602,1,1
840,840,1112,1,1
841,841,1001,1,1
842,842,1173,1,1
843,843,2592,1,1
844,844,1936,1,1
845,845,1746,1,1
846,846,329,1,1
847,847,2981,1,1
848,848,3240,1,1
849,849,905,1,1
850,850,1343,1,1
851,851,409,1,1
852,852,1161,1,1
853,853,3053,1,1
854,854,2039,1,1
855,855,392,1,1
856,856,486,1,1
857,857,292,1,1
858,858,1493,1,1
859,859,375,1,1
860,860,164,1,1
861,861,2754,1,1
862,862,872,1,1
863,863,1017,1,1
864,864,2645,1,1
865,865,2147,1,1
866,866,2051,1,1
867,867,2351,1,1
868,868,2651,1,1
869,869,2668,1,1
870,870,3318,1,1
871,871,1481,1,1
872,872,530,1,1
873,873,1930,1,1
874,874,1907,1,1
875,875,3285,1,1
876,876,2827,1,1
877,877,698,1,1
878,878,3438,1,1
879,879,2227,1,1
880,880,865,1,1
881,881,2504,1,1
882,882,100,1,1
883,883,2586,1,1
884,884,1383,1,1
885,885,319,1,1
886,886,1204,1,1
887,887,757,1,1
888,888,1586,1,1
889,889,2607,1,1
890,890,805,1,1
891,891,2723,1,1
892,892,993,1,1
893,893,2450,1,1
894,894,624,1,1
895,895,3393,1,1
896,896,1583,1,1
897,897,1665,1,1
898,898,2649,1,1
899,899,479,1,1
900,900,622,1,1
901,901,2078,1,1
902,902,3105,1,1
903,903,2946,1,1
904,904,3218,1,1
905,905,2863,1,1
906,906,3122,1,1
907,907,1056,1,1
908,908,1400,1,1
909,909,2834,1,1
910,910,1112,1,1
911,911,3366,1,1
912,912,2337,1,1
913,913,2958,1,1
914,914,2692,1,1
915,915,1763,1,1
916,916,2331,1,1
917,917,3399,1,1
918,918,1143,1,1
919,919,2630,1,1
920,920,1984,1,1
921,921,1344,1,1
922,922,2328,1,1
923,923,42,1,1
924,924,2246,1,1
925,925,2701,1,1
926,926,1371,1,1
927,927,1006,1,1
928,928,2527,1,1
929,929,2519,1,1
930,930,2251,1,1
931,931,1861,1,1
932,932,3045,1,1
933,933,1197,1,1
934,934,2339,1,1
935,935,1020,1,1
936,936,2409,1,1
937,937,3402,1,1
938,938,1146,1,1
939,939,1437,1,1
940,940,362,1,1
941,941,829,1,1
942,942,2673,1,1
943,943,941,1,1
944,944,2921,1,1
945,945,993,1,1
946,946,3209,1,1
947,947,1146,1,1
948,948,2445,1,1
949,949,1061,1,1
950,950,2410,1,1
951,951,611,1,1
952,952,1430,1,1
953,953,3188,1,1
954,954,3334,1,1
955,955,3470,1,1
956,956,883,1,1
957,957,1783,1,1
958,958,3439,1,1
959,959,2019,1,1
960,960,496,1,1
961,961,988,1,1
962,962,2385,1,1
963,963,3083,1,1
964,964,2224,1,1
965,965,795,1,1
966,966,448,1,1
967,967,2776,1,1
968,968,2836,1,1
969,969,2013,1,1
970,970,291,1,1
971,971,160,1,1
972,972,506,1,1
973,973,1472,1,1
974,974,301,1,1
975,975,1090,1,1
976,976,902,1,1
977,977,3430,1,1
978,978,257,1,1
979,979,3316,1,1
980,980,1698,1,1
981,981,1761,1,1
982,982,789,1,1
983,983,2163,1,1
984,984,1565,1,1
985,985,1087,1,1
986,986,2775,1,1
987,987,2077,1,1
988,988,1910,1,1
989,989,2829,1,1
990,990,2249,1,1
991,991,2321,1,1
992,992,728,1,1
993,993,3205,1,1
994,994,2523,1,1
995,995,2966,1,1
996,996,512,1,1
997,997,2362,1,1
998,998,3043,1,1
999,999,2093,1,1
1000,1000,909,1,1
1001,1001,717,1,1
1002,1002,1781,1,1
1003,1003,3393,1,1
1004,1004,239,1,1
1005,1005,2661,1,1
1006,1006,1937,1,1
1007,1007,1037,1,1
1008,1008,2374,1,1
1009,1009,1984,1,1
1010,1010,3075,1,1
1011,1011,549,1,1
1012,1012,106,1,1
1013,1013,632,1,1
1014,1014,165,1,1
1015,1015,3219,1,1
1016,1016,193,1,1
1017,1017,2597,1,1
1018,1018,2987,1,1
1019,1019,857,1,1
1020,1020,3005,1,1
1021,1021,1709,1,1
1022,1022,3136,1,1
1023,1023,1143,1,1
1024,1024,1477,1,1
1025,1025,2459,1,1
1026,1026,2782,1,1
1027,1027,3258,1,1
1028,1028,1160,1,1
1029,1029,3218,1,1
1030,1030,2493,1,1
1031,1031,120,1,1
1032,1032,873,1,1
1033,1033,2249,1,1
1034,1034,1697,1,1
1035,1035,57,1,1
1036,1036,1257,1,1
1037,1037,1375,1,1
1038,1038,2601,1,1
1039,1039,2287,1,1
1040,1040,2898,1,1
1041,1041,2269,1,1
1042,1042,3203,1,1
1043,1043,2749,1,1
1044,1044,1272,1,1
1045,1045,1605,1,1
1046,1046,1962,1,1
1047,1047,1970,1,1
1048,1048,1146,1,1
1049,1049,3266,1,1
1050,1050,1063,1,1
1051,1051,693,1,1
1052,1052,2720,1,1
1053,1053,2458,1,1
1054,1054,1505,1,1
1055,1055,606,1,1
1056,1056,101,1,1
1057,1057,1823,1,1
1058,1058,2364,1,1
1059,1059,2056,1,1
1060,1060,744,1,1
1061,1061,2065,1,1
1062,1062,934,1,1
1063,1063,1445,1,1
1064,1064,3364,1,1
1065,1065,1123,1,1
1066,1066,2481,1,1
1067,1067,946,1,1
1068,1068,681,1,1
1069,1069,106,1,1
1070,1070,2248,1,1
1071,1071,1543,1,1
1072,1072,2321,1,1
1073,1073,735,1,1
1074,1074,1913,1,1
1075,1075,2721,1,1
1076,1076,2140,1,1
1077,1077,3016,1,1
1078,1078,1788,1,1
1079,1079,525,1,1
1080,1080,3412,1,1
1081,1081,3345,1,1
1082,1082,2070,1,1
1083,1083,3204,1,1
1084,1084,1826,1,1
1085,1085,1769,1,1
1086,1086,576,1,1
1087,1087,1653,1,1
1088,1088,270,1,1
1089,1089,1452,1,1
1090,1090,763,1,1
1091,1091,2178,1,1
1092,1092,5,1,1
1093,1093,325,1,1
1094,1094,2901,1,1
1095,1095,2339,1,1
1096,1096,238,1,1
1097,1097,2833,1,1
1098,1098,2819,1,1
1099,1099,3065,1,1
1100,1100,3238,1,1
1101,1101,2375,1,1
1102,1102,1212,1,1
1103,1103,490,1,1
1104,1104,633,1,1
1105,1105,1427,1,1
1106,1106,1753,1,1
1107,1107,231,1,1
1108,1108,2055,1,1
1109,1109,30,1,1
1110,1110,2850,1,1
1111,1111,2843,1,1
1112,1112,2259,1,1
1113,1113,283,1,1
1114,1114,1124,1,1
1115,1115,3080,1,1
1116,1116,1767,1,1
1117,1117,1988,1,1
1118,1118,2981,1,1
1119,1119,2449,1,1
1120,1120,3113,1,1
1121,1121,1576,1,1
1122,1122,3130,1,1
1123,1123,2989,1,1
1124,1124,2167,1,1
1125,1125,2089,1,1
1126,1126,2439,1,1
1127,1127,3046,1,1
1128,1128,455,1,1
1129,1129,1964,1,1
1130,1130,2870,1,1
1131,1131,2990,1,1
1132,1132,1653,1,1
1133,1133,2157,1,1
1134,1134,2914,1,1
1135,1135,296,1,1
1136,1136,1817,1,1
1137,1137,733,1,1
1138,1138,2027,1,1
1139,1139,2677,1,1
1140,1140,2472,1,1
1141,1141,2949,1,1
1142,1142,1577,1,1
1143,1143,537,1,1
1144,1144,2251,1,1
1145,1145,804,1,1
1146,1146,2161,1,1
1147,1147,260,1,1
1148,1148,1728,1,1
1149,1149,1878,1,1
1150,1150,695,1,1
1151,1151,1777,1,1
1152,1152,2046,1,1
1153,1153,725,1,1
1154,1154,3144,1,1
1155,1155,3398,1,1
1156,1156,1580,1,1
1157,1157,2374,1,1
1158,1158,180,1,1
1159,1159,3255,1,1
1160,1160,2638,1,1
1161,1161,1772,1,1
1162,1162,930,1,1
1163,1163,3069,1,1
1164,1164,545,1,1
1165,1165,2696,1,1
1166,1166,321,1,1
1167,1167,976,1,1
1168,1168,2144,1,1
1169,1169,2480,1,1
1170,1170,480,1,1
1171,1171,1389,1,1
1172,1172,1203,1,1
1173,1173,3204,1,1
1174,1174,600,1,1
1175,1175,1302,1,1
1176,1176,928,1,1
1177,1177,2712,1,1
1178,1178,2821,1,1
1179,1179,184,1,1
1180,1180,1420,1,1
1181,1181,79,1,1
1182,1182,2671,1,1
1183,1183,3198,1,1
1184,1184,1733,1,1
1185,1185,2745,1,1
1186,1186,1556,1,1
1187,1187,2299,1,1
1188,1188,239,1,1
1189,1189,199,1,1
1190,1190,1751,1,1
1191,1191,3354,1,1
1192,1192,2285,1,1
1193,1193,2036,1,1
1194,1194,247,1,1
1195,1195,3471,1,1
1196,1196,774,1,1
1197,1197,2172,1,1
1198,1198,1159,1,1
1199,1199,2039,1,1
1200,1200,3028,1,1
1201,1201,2738,1,1
1202,1202,2322,1,1
1203,1203,2396,1,1
1204,1204,293,1,1
1205,1205,1660,1,1
1206,1206,1704,1,1
1207,1207,1327,1,1
1208,1208,2637,1,1
1209,1209,2522,1,1
1210,1210,2216,1,1
1211,1211,1723,1,1
1212,1212,1544,1,1
1213,1213,1704,1,1
1214,1214,3008,1,1
1215,1215,3115,1,1
1216,1216,3182,1,1
1217,1217,2300,1,1
1218,1218,3159,1,1
1219,1219,2625,1,1
1220,1220,1553,1,1
1221,1221,540,1,1
1222,1222,3305,1,1
1223,1223,2870,1,1
1224,1224,703,1,1
1225,1225,3134,1,1
1226,1226,1206,1,1
1227,1227,214,1,1
1228,1228,1093,1,1
1229,1229,2606,1,1
1230,1230,2637,1,1
1231,1231,1080,1,1
1232,1232,3195,1,1
1233,1233,2217,1,1
1234,1234,651,1,1
1235,1235,1511,1,1
1236,1236,481,1,1
1237,1237,2967,1,1
1238,1238,2581,1,1
1239,1239,2219,1,1
1240,1240,844,1,1
1241,1241,3099,1,1
1242,1242,739,1,1
1243,1243,2883,1,1
1244,1244,3243,1,1
1245,1245,152,1,1
1246,1246,2715,1,1
1247,1247,2673,1,1
1248,1248,3413,1,1
1249,1249,1972,1,1
1250,1250,1302,1,1
1251,1251,265,1,1
1252,1252,1080,1,1
